Indnum	Household heating => 70F	Household heating < 70F	Use of heat pump	Use of air conditioner	shower - short	shower - long (> 3 min)	bath	wash-up	use of dishwasher	use of clothes washer	use of clothes dryer	use of cooking range	use of  oven	use of self-clean feature of electric oven	Small kitchen appliance in the home	TV/computer use	air travel - large plane	air travel - small  plane (<50 seats)	car trips- self only	car trips - driver and self	car trips - 2+ people with multiple end points	trips using public ground transportation	bags of garbage disposed	bags of recycling deposited (negative CF)	bags of compost deposited (negative CF)	hazardous or electric items disposed	large items disposed	QoLI
1	2.0	10.0	0.0	20.0	5.0	30.0	0.0	44.0	0.0	2.0	3.0	0.0	9.0	3.0	0.0	64.0	2747.0	0.0	443.0	38.0	10.0	15.0	26.0	0.0	3.0	0.0	2.0	5388.37037037037
2	7.0	2.0	0.0	15.0	7.0	13.0	0.0	44.0	0.0	8.0	4.0	0.0	8.0	3.0	0.0	63.0	2524.0	0.0	273.0	19.0	17.0	12.0	17.0	0.0	0.0	0.0	0.0	5154.407407407408
3	3.0	1.0	0.0	16.0	7.0	40.0	0.0	45.0	0.0	5.0	3.0	0.0	10.0	4.0	0.0	64.0	2653.0	0.0	260.0	35.0	23.0	13.0	22.0	0.0	0.0	0.0	0.0	5116.666666666667
4	10.0	4.0	0.0	18.0	5.0	12.0	0.0	35.0	0.0	6.0	2.0	0.0	11.0	3.0	0.0	59.0	3419.0	0.0	336.0	28.0	0.0	12.0	27.0	0.0	0.0	0.0	0.0	6639.666666666667
5	8.0	10.0	0.0	14.0	7.0	10.0	0.0	45.0	0.0	7.0	1.0	0.0	12.0	2.0	0.0	64.0	3113.0	0.0	388.0	15.0	15.0	19.0	17.0	0.0	0.0	0.0	2.0	6370.2962962962965
6	6.0	3.0	0.0	14.0	8.0	26.0	0.0	32.0	10.0	4.0	2.0	0.0	11.0	3.0	59.0	59.0	2021.0	0.0	267.0	21.0	0.0	14.0	22.0	0.0	0.0	0.0	1.0	4341.814814814815
7	5.0	1.0	0.0	20.0	3.0	23.0	0.0	37.0	0.0	5.0	4.0	16.0	9.0	1.0	0.0	63.0	3016.0	0.0	288.0	39.0	11.0	12.0	18.0	0.0	0.0	0.0	0.0	5996.111111111111
8	4.0	6.0	0.0	15.0	5.0	15.0	0.0	49.0	0.0	5.0	4.0	0.0	10.0	1.0	0.0	60.0	2895.0	0.0	359.0	38.0	10.0	14.0	20.0	0.0	0.0	0.0	2.0	6117.777777777777
9	4.0	6.0	0.0	20.0	2.0	35.0	0.0	52.0	0.0	7.0	2.0	0.0	8.0	4.0	0.0	64.0	3406.0	0.0	311.0	24.0	20.0	19.0	23.0	0.0	0.0	0.0	1.0	6493.481481481482
10	6.0	10.0	0.0	31.0	4.0	19.0	0.0	48.0	0.0	4.0	4.0	0.0	8.0	1.0	0.0	58.0	2949.0	0.0	354.0	20.0	0.0	14.0	28.0	0.0	0.0	0.0	0.0	6311.62962962963
11	8.0	6.0	0.0	28.0	2.0	37.0	0.0	40.0	0.0	2.0	4.0	0.0	9.0	4.0	0.0	64.0	2918.0	0.0	463.0	16.0	12.0	12.0	25.0	0.0	0.0	0.0	0.0	6544.222222222223
12	3.0	9.0	0.0	26.0	6.0	20.0	0.0	49.0	0.0	8.0	2.0	0.0	10.0	2.0	0.0	61.0	3084.0	0.0	430.0	19.0	0.0	12.0	21.0	0.0	2.0	0.0	0.0	6995.814814814815
13	1.0	9.0	0.0	22.0	2.0	11.0	0.0	34.0	0.0	4.0	4.0	0.0	11.0	3.0	0.0	63.0	3034.0	0.0	270.0	20.0	0.0	14.0	17.0	0.0	0.0	0.0	2.0	5526.407407407408
14	5.0	5.0	0.0	22.0	4.0	29.0	0.0	34.0	0.0	4.0	1.0	0.0	12.0	1.0	0.0	61.0	2447.0	0.0	449.0	39.0	0.0	16.0	23.0	0.0	0.0	0.0	1.0	5862.925925925926
