Indnum	Group	Activity	Units	Consumption	Quality_of_Life_Importance__1_10	solar powered  water heater	gas water heater	electric water heater - peak hours	electric water heater - off peak hours	gas	natural gas	hybrid	electric - peak hours	electric - off peak hours	Jet Fuel	waste management	CarbonFootprint
1	1	Household heating => 70F	hours	2.0	88.0	0.0	0.0	0.0	0.0	0.0	0.000436	0.0	0.0	0.0	0.0	0.0	0.000872
1	1	Household heating < 70F	hours	10.0	85.0	0.0	0.0	0.0	0.0	0.0	0.000872	0.0	0.0	0.0	0.0	0.0	0.00872
1	1	Use of heat pump	hours	0.0	50.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	1	Use of air conditioner	hours	20.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2	shower - short	count	5.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2	shower - long (> 3 min)	count	30.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2	bath	count	0.0	14.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	2	wash-up	count	44.0	27.0	0.0	4.2e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0018479999999999998
1	3	use of dishwasher	count	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3	use of clothes washer	count	2.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3	use of clothes dryer	count	3.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3	use of cooking range	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3	use of  oven	count	9.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3	use of self-clean feature of electric oven	count	3.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	3	Small kitchen appliance in the home	count	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	4	TV/computer use	count	64.0	23.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	5	air travel - large plane	miles	2747.0	42.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	5	air travel - small  plane (<50 seats)	miles	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	5	car trips- self only	miles	443.0	44.0	0.0	0.0	0.0	0.0	0.000551	0.0	0.0	0.0	0.0	0.0	0.0	0.24409299999999998
1	5	car trips - driver and self	miles	38.0	27.0	0.0	0.0	0.0	0.0	0.000554	0.0	0.0	0.0	0.0	0.0	0.0	0.021052
1	5	car trips - 2+ people with multiple end points	miles	10.0	0.0	0.0	0.0	0.0	0.0	0.000354	0.0	0.0	0.0	0.0	0.0	0.0	0.0035399999999999997
1	5	trips using public ground transportation	bags	15.0	49.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	6	bags of garbage disposed	bags	26.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	6	bags of recycling deposited (negative CF)	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	0.0
1	6	bags of compost deposited (negative CF)	bags	3.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0419	-0.1257
1	6	hazardous or electric items disposed	bags	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0211	0.0
